Date,seven_day_rolling_avg,Location,region,measureid,fractionid
2021-02-09,30.770245,Edmonton Goldbar,Edmonton,covN2,solid
2021-02-11,21.598975,Edmonton Goldbar,Edmonton,covN2,solid
2021-02-14,21.274825,Edmonton Goldbar,Edmonton,covN2,solid
2021-02-16,15.8570183333333,Edmonton Goldbar,Edmonton,covN2,solid
2021-02-18,17.556075,Edmonton Goldbar,Edmonton,covN2,solid
2021-02-22,14.04877,Edmonton Goldbar,Edmonton,covN2,solid
2021-02-23,11.7464233333333,Edmonton Goldbar,Edmonton,covN2,solid
2021-02-25,7.83541,Edmonton Goldbar,Edmonton,covN2,solid
2021-02-28,8.80264625,Edmonton Goldbar,Edmonton,covN2,solid
2021-03-02,11.7000883333333,Edmonton Goldbar,Edmonton,covN2,solid
2021-03-04,15.7812416666667,Edmonton Goldbar,Edmonton,covN2,solid
2021-03-07,14.4980816666667,Edmonton Goldbar,Edmonton,covN2,solid
2021-03-09,14.41822,Edmonton Goldbar,Edmonton,covN2,solid
2021-03-11,13.2843016666667,Edmonton Goldbar,Edmonton,covN2,solid
2021-03-14,14.559285,Edmonton Goldbar,Edmonton,covN2,solid
2021-03-16,16.29863,Edmonton Goldbar,Edmonton,covN2,solid
2021-03-18,19.0595533333333,Edmonton Goldbar,Edmonton,covN2,solid
2021-03-21,22.719965,Edmonton Goldbar,Edmonton,covN2,solid
2021-03-23,30.5919966666667,Edmonton Goldbar,Edmonton,covN2,solid
2021-03-25,32.0202116666667,Edmonton Goldbar,Edmonton,covN2,solid
2021-03-28,32.89919,Edmonton Goldbar,Edmonton,covN2,solid
2021-03-29,38.09367875,Edmonton Goldbar,Edmonton,covN2,solid
2021-04-04,50.422110000000004,Edmonton Goldbar,Edmonton,covN2,solid
2021-04-08,61.0027375,Edmonton Goldbar,Edmonton,covN2,solid
2021-04-11,55.8853125,Edmonton Goldbar,Edmonton,covN2,solid
2021-04-15,82.5024725,Edmonton Goldbar,Edmonton,covN2,solid
2021-04-18,98.3550575,Edmonton Goldbar,Edmonton,covN2,solid
2021-04-22,82.21721,Edmonton Goldbar,Edmonton,covN2,solid
2021-04-25,75.95141,Edmonton Goldbar,Edmonton,covN2,solid
2021-04-29,121.724685,Edmonton Goldbar,Edmonton,covN2,solid
2021-05-02,136.4564025,Edmonton Goldbar,Edmonton,covN2,solid
2021-05-06,68.5829875,Edmonton Goldbar,Edmonton,covN2,solid
2021-05-09,59.882145,Edmonton Goldbar,Edmonton,covN2,solid
2021-05-12,55.1688533333333,Edmonton Goldbar,Edmonton,covN2,solid
2021-05-16,36.2997325,Edmonton Goldbar,Edmonton,covN2,solid
2021-05-20,30.2533325,Edmonton Goldbar,Edmonton,covN2,solid
2021-05-23,26.29396,Edmonton Goldbar,Edmonton,covN2,solid
2021-05-27,17.4041975,Edmonton Goldbar,Edmonton,covN2,solid
2021-05-30,15.13532,Edmonton Goldbar,Edmonton,covN2,solid
2021-06-03,15.2421625,Edmonton Goldbar,Edmonton,covN2,solid
2021-06-06,13.2311625,Edmonton Goldbar,Edmonton,covN2,solid
2021-06-10,7.5160925,Edmonton Goldbar,Edmonton,covN2,solid
2021-06-13,6.156335,Edmonton Goldbar,Edmonton,covN2,solid
2021-06-17,6.5048725,Edmonton Goldbar,Edmonton,covN2,solid
2021-06-20,5.9994175,Edmonton Goldbar,Edmonton,covN2,solid
2021-06-24,5.159945,Edmonton Goldbar,Edmonton,covN2,solid
2021-06-27,3.33581,Edmonton Goldbar,Edmonton,covN2,solid
2021-07-01,4.855785,Edmonton Goldbar,Edmonton,covN2,solid
2021-07-04,5.904145,Edmonton Goldbar,Edmonton,covN2,solid
2021-07-08,3.04836,Edmonton Goldbar,Edmonton,covN2,solid
2021-07-11,2,Edmonton Goldbar,Edmonton,covN2,solid
2021-07-15,3,Edmonton Goldbar,Edmonton,covN2,solid
2021-07-18,5.000085,Edmonton Goldbar,Edmonton,covN2,solid
2021-07-22,5.353005,Edmonton Goldbar,Edmonton,covN2,solid
2021-07-25,6.76609,Edmonton Goldbar,Edmonton,covN2,solid
2021-07-29,11.68365,Edmonton Goldbar,Edmonton,covN2,solid
2021-08-01,14.1747325,Edmonton Goldbar,Edmonton,covN2,solid
2021-08-05,23.1427725,Edmonton Goldbar,Edmonton,covN2,solid
2021-08-08,27.8162625,Edmonton Goldbar,Edmonton,covN2,solid
2021-08-12,43.79684,Edmonton Goldbar,Edmonton,covN2,solid
2021-08-15,60.4829675,Edmonton Goldbar,Edmonton,covN2,solid
2021-08-19,84.6380625,Edmonton Goldbar,Edmonton,covN2,solid
2021-08-22,75.61499,Edmonton Goldbar,Edmonton,covN2,solid
2021-08-26,67.7010925,Edmonton Goldbar,Edmonton,covN2,solid
2021-08-29,90.1424475,Edmonton Goldbar,Edmonton,covN2,solid
2021-09-02,157.663005,Edmonton Goldbar,Edmonton,covN2,solid
2021-09-05,229.7860575,Edmonton Goldbar,Edmonton,covN2,solid
2021-09-09,167.960015,Edmonton Goldbar,Edmonton,covN2,solid
2021-09-12,127.82522,Edmonton Goldbar,Edmonton,covN2,solid
2021-09-16,126.4366575,Edmonton Goldbar,Edmonton,covN2,solid
2021-09-19,100.6208175,Edmonton Goldbar,Edmonton,covN2,solid
2021-09-23,123.2858275,Edmonton Goldbar,Edmonton,covN2,solid
2021-09-26,105.57799,Edmonton Goldbar,Edmonton,covN2,solid
2021-09-30,108.653505,Edmonton Goldbar,Edmonton,covN2,solid
2021-10-03,97.777755,Edmonton Goldbar,Edmonton,covN2,solid
2021-10-07,50.661455,Edmonton Goldbar,Edmonton,covN2,solid
2021-10-10,45.456735,Edmonton Goldbar,Edmonton,covN2,solid
2021-10-14,44.738445,Edmonton Goldbar,Edmonton,covN2,solid
2021-10-17,81.014985,Edmonton Goldbar,Edmonton,covN2,solid
2021-10-21,76.5182375,Edmonton Goldbar,Edmonton,covN2,solid
2021-10-24,46.2231175,Edmonton Goldbar,Edmonton,covN2,solid
2021-10-28,38.5164125,Edmonton Goldbar,Edmonton,covN2,solid
2021-10-31,38.738495,Edmonton Goldbar,Edmonton,covN2,solid
2021-11-04,43.2015775,Edmonton Goldbar,Edmonton,covN2,solid
2021-11-07,35.8481625,Edmonton Goldbar,Edmonton,covN2,solid
2021-11-11,26.5494125,Edmonton Goldbar,Edmonton,covN2,solid
2021-11-14,32.915195,Edmonton Goldbar,Edmonton,covN2,solid
2021-11-18,34.57828,Edmonton Goldbar,Edmonton,covN2,solid
2021-11-21,32.85974,Edmonton Goldbar,Edmonton,covN2,solid
2021-11-25,29.0075075,Edmonton Goldbar,Edmonton,covN2,solid
2021-11-28,24.8092575,Edmonton Goldbar,Edmonton,covN2,solid
2021-12-02,25.9217775,Edmonton Goldbar,Edmonton,covN2,solid
2021-12-05,22.9854075,Edmonton Goldbar,Edmonton,covN2,solid
2021-12-09,18.0371175,Edmonton Goldbar,Edmonton,covN2,solid
2021-12-12,13.3642825,Edmonton Goldbar,Edmonton,covN2,solid
2021-12-16,19.713585,Edmonton Goldbar,Edmonton,covN2,solid
2021-12-19,27.9545825,Edmonton Goldbar,Edmonton,covN2,solid
2021-12-23,48.349525,Edmonton Goldbar,Edmonton,covN2,solid
2021-12-26,107.9628775,Edmonton Goldbar,Edmonton,covN2,solid
2021-12-31,138.095705,Edmonton Goldbar,Edmonton,covN2,solid
2022-01-03,84.7627725,Edmonton Goldbar,Edmonton,covN2,solid
2022-01-06,135.454076666667,Edmonton Goldbar,Edmonton,covN2,solid
2022-01-09,152.38055,Edmonton Goldbar,Edmonton,covN2,solid
2022-01-13,153.8242575,Edmonton Goldbar,Edmonton,covN2,solid
2022-01-16,147.8000225,Edmonton Goldbar,Edmonton,covN2,solid
2022-01-20,251.8687375,Edmonton Goldbar,Edmonton,covN2,solid
2022-01-23,283.432625,Edmonton Goldbar,Edmonton,covN2,solid
2022-01-27,200.328915,Edmonton Goldbar,Edmonton,covN2,solid
2022-01-30,116.4298375,Edmonton Goldbar,Edmonton,covN2,solid
2022-02-03,70.28549,Edmonton Goldbar,Edmonton,covN2,solid
2022-02-06,99.486075,Edmonton Goldbar,Edmonton,covN2,solid
2022-02-10,70.999695,Edmonton Goldbar,Edmonton,covN2,solid
2022-02-13,25.4494925,Edmonton Goldbar,Edmonton,covN2,solid
2022-02-17,35.13853,Edmonton Goldbar,Edmonton,covN2,solid
2022-02-20,40.592375,Edmonton Goldbar,Edmonton,covN2,solid
2022-02-24,35.6435975,Edmonton Goldbar,Edmonton,covN2,solid
2022-02-27,29.53128,Edmonton Goldbar,Edmonton,covN2,solid
2022-03-03,24.127025,Edmonton Goldbar,Edmonton,covN2,solid
2022-03-06,21.3209175,Edmonton Goldbar,Edmonton,covN2,solid
2022-03-10,25.8651225,Edmonton Goldbar,Edmonton,covN2,solid
2022-03-13,22.4252475,Edmonton Goldbar,Edmonton,covN2,solid
2022-03-17,12.90496,Edmonton Goldbar,Edmonton,covN2,solid
2022-03-20,18.645215,Edmonton Goldbar,Edmonton,covN2,solid
