Date,seven_day_rolling_avg,Location,region,measureid,fractionid
2022-05-27,27.10578,Brandon,Brandon,covN2,solid
2022-05-31,26.3422075,Brandon,Brandon,covN2,solid
2022-06-03,24.9803125,Brandon,Brandon,covN2,solid
2022-06-07,17.6946675,Brandon,Brandon,covN2,solid
2022-06-10,12.8199475,Brandon,Brandon,covN2,solid
2022-06-14,8.816275,Brandon,Brandon,covN2,solid
2022-06-17,3.6319975,Brandon,Brandon,covN2,solid
2022-06-21,3.8972725,Brandon,Brandon,covN2,solid
2022-06-24,3.265275,Brandon,Brandon,covN2,solid
2022-06-28,3.302705,Brandon,Brandon,covN2,solid
2022-07-01,10.1918225,Brandon,Brandon,covN2,solid
2022-07-05,15.3984725,Brandon,Brandon,covN2,solid
2022-07-08,11.8650775,Brandon,Brandon,covN2,solid
2022-07-12,7.19446,Brandon,Brandon,covN2,solid
2022-07-15,13.7839375,Brandon,Brandon,covN2,solid
2022-07-19,28.90313,Brandon,Brandon,covN2,solid
2022-07-22,27.7405175,Brandon,Brandon,covN2,solid
2022-07-26,15.73763,Brandon,Brandon,covN2,solid
2022-07-29,12.1754725,Brandon,Brandon,covN2,solid
2022-08-02,12.07942,Brandon,Brandon,covN2,solid
2022-08-05,15.181485,Brandon,Brandon,covN2,solid
2022-08-09,15.1787625,Brandon,Brandon,covN2,solid
2022-08-12,16.7719975,Brandon,Brandon,covN2,solid
2022-08-16,25.348605,Brandon,Brandon,covN2,solid
2022-08-19,24.82613,Brandon,Brandon,covN2,solid
2022-08-23,20.826065,Brandon,Brandon,covN2,solid
2022-08-26,32.2917875,Brandon,Brandon,covN2,solid
2022-08-30,47.5784625,Brandon,Brandon,covN2,solid
2022-09-02,73.6230775,Brandon,Brandon,covN2,solid
2022-09-06,79.4925175,Brandon,Brandon,covN2,solid
2022-09-09,117.4128075,Brandon,Brandon,covN2,solid
2022-09-13,207.2478375,Brandon,Brandon,covN2,solid
2022-09-16,132.4511,Brandon,Brandon,covN2,solid
2022-09-20,28.0410525,Brandon,Brandon,covN2,solid
2022-09-23,79.4548,Brandon,Brandon,covN2,solid
2022-09-27,96.83427,Brandon,Brandon,covN2,solid
2022-09-30,81.06479,Brandon,Brandon,covN2,solid
2022-10-04,76.40422,Brandon,Brandon,covN2,solid
2022-10-07,55.3080375,Brandon,Brandon,covN2,solid
2022-10-11,61.25458,Brandon,Brandon,covN2,solid
2022-10-14,48.2934175,Brandon,Brandon,covN2,solid
2022-10-18,91.639525,Brandon,Brandon,covN2,solid
2022-10-21,120.97972,Brandon,Brandon,covN2,solid
2022-10-25,77.9880675,Brandon,Brandon,covN2,solid
2022-10-28,88.7115275,Brandon,Brandon,covN2,solid
2022-11-01,95.338895,Brandon,Brandon,covN2,solid
2022-11-04,58.229455,Brandon,Brandon,covN2,solid
2022-11-08,45.416645,Brandon,Brandon,covN2,solid
2022-11-11,65.7437575,Brandon,Brandon,covN2,solid
2022-11-15,91.3767875,Brandon,Brandon,covN2,solid
2022-11-18,182.81859,Brandon,Brandon,covN2,solid
2022-11-22,155.82358,Brandon,Brandon,covN2,solid
2022-11-25,87.3799525,Brandon,Brandon,covN2,solid
2022-11-29,78.06687,Brandon,Brandon,covN2,solid
2022-12-02,84.1305825,Brandon,Brandon,covN2,solid
2022-12-06,82.05598,Brandon,Brandon,covN2,solid
2022-12-09,30.0406075,Brandon,Brandon,covN2,solid
2022-12-13,64.2639375,Brandon,Brandon,covN2,solid
2022-12-16,61.3456575,Brandon,Brandon,covN2,solid
2022-12-20,27.3796025,Brandon,Brandon,covN2,solid
2022-12-23,24.5948675,Brandon,Brandon,covN2,solid
2022-12-27,16.06203,Brandon,Brandon,covN2,solid
2022-12-30,18.208,Brandon,Brandon,covN2,solid
2023-01-03,14.8832975,Brandon,Brandon,covN2,solid
2023-01-06,24.7705025,Brandon,Brandon,covN2,solid
2023-01-10,41.123135,Brandon,Brandon,covN2,solid
2023-01-13,25.86753,Brandon,Brandon,covN2,solid
