Date,seven_day_rolling_avg,Location,region,measureid,fractionid
2021-01-05,145.86941,Toronto Ashbridges Bay,Toronto,covN2,solid
2021-01-06,154.6698125,Toronto Ashbridges Bay,Toronto,covN2,solid
2021-01-07,176.822118333333,Toronto Ashbridges Bay,Toronto,covN2,solid
2021-01-10,168.319605,Toronto Ashbridges Bay,Toronto,covN2,solid
2021-02-11,33.23802,Toronto Ashbridges Bay,Toronto,covN2,solid
2021-02-14,19.0927875,Toronto Ashbridges Bay,Toronto,covN2,solid
2021-02-16,21.4120316666667,Toronto Ashbridges Bay,Toronto,covN2,solid
2021-02-18,19.310375,Toronto Ashbridges Bay,Toronto,covN2,solid
2021-02-22,27.0516016666667,Toronto Ashbridges Bay,Toronto,covN2,solid
2021-02-23,22.9746633333333,Toronto Ashbridges Bay,Toronto,covN2,solid
2021-02-25,22.3954516666667,Toronto Ashbridges Bay,Toronto,covN2,solid
2021-02-28,24.19293125,Toronto Ashbridges Bay,Toronto,covN2,solid
2021-03-02,23.9127383333333,Toronto Ashbridges Bay,Toronto,covN2,solid
2021-03-04,19.82895,Toronto Ashbridges Bay,Toronto,covN2,solid
2021-03-07,15.8377083333333,Toronto Ashbridges Bay,Toronto,covN2,solid
2021-03-09,16.8917716666667,Toronto Ashbridges Bay,Toronto,covN2,solid
2021-03-11,17.8347133333333,Toronto Ashbridges Bay,Toronto,covN2,solid
2021-03-14,20.3790916666667,Toronto Ashbridges Bay,Toronto,covN2,solid
2021-03-16,29.5201566666667,Toronto Ashbridges Bay,Toronto,covN2,solid
2021-03-18,44.544545,Toronto Ashbridges Bay,Toronto,covN2,solid
2021-03-21,50.8788633333333,Toronto Ashbridges Bay,Toronto,covN2,solid
2021-03-23,52.7461833333333,Toronto Ashbridges Bay,Toronto,covN2,solid
2021-03-25,55.6728383333333,Toronto Ashbridges Bay,Toronto,covN2,solid
2021-03-28,47.2330033333333,Toronto Ashbridges Bay,Toronto,covN2,solid
2021-03-30,47.83536,Toronto Ashbridges Bay,Toronto,covN2,solid
2021-04-01,48.9580716666667,Toronto Ashbridges Bay,Toronto,covN2,solid
2021-04-04,73.7359883333333,Toronto Ashbridges Bay,Toronto,covN2,solid
2021-04-06,82.7301716666667,Toronto Ashbridges Bay,Toronto,covN2,solid
