Date,seven_day_rolling_avg,Location,region,measureid,fractionid
2020-10-29,4.2712,Montreal North,Montreal,covN2,solid
2020-11-01,7.65203,Montreal North,Montreal,covN2,solid
2020-11-05,8.7173525,Montreal North,Montreal,covN2,solid
2020-11-08,10.790375,Montreal North,Montreal,covN2,solid
2020-11-12,25.3035275,Montreal North,Montreal,covN2,solid
2020-11-15,38.9765325,Montreal North,Montreal,covN2,solid
2020-11-19,39.1705375,Montreal North,Montreal,covN2,solid
2020-11-22,38.4466625,Montreal North,Montreal,covN2,solid
2020-11-26,27.95478,Montreal North,Montreal,covN2,solid
2020-11-29,16.6782825,Montreal North,Montreal,covN2,solid
2020-12-01,21.093185,Montreal North,Montreal,covN2,solid
2020-12-03,25.4060616666667,Montreal North,Montreal,covN2,solid
2020-12-06,26.4930433333333,Montreal North,Montreal,covN2,solid
2020-12-08,33.1918633333333,Montreal North,Montreal,covN2,solid
2020-12-10,42.3767783333333,Montreal North,Montreal,covN2,solid
2020-12-13,66.2316433333333,Montreal North,Montreal,covN2,solid
2020-12-15,64.936315,Montreal North,Montreal,covN2,solid
2020-12-17,73.372005,Montreal North,Montreal,covN2,solid
2020-12-20,61.3526366666667,Montreal North,Montreal,covN2,solid
2020-12-22,76.4218583333333,Montreal North,Montreal,covN2,solid
2020-12-24,80.8562183333333,Montreal North,Montreal,covN2,solid
2020-12-27,91.40314,Montreal North,Montreal,covN2,solid
2020-12-29,72.2353116666667,Montreal North,Montreal,covN2,solid
2021-01-03,62.2547975,Montreal North,Montreal,covN2,solid
2021-01-05,84.72399,Montreal North,Montreal,covN2,solid
2021-01-07,85.2068983333333,Montreal North,Montreal,covN2,solid
2021-01-10,74.8780933333333,Montreal North,Montreal,covN2,solid
2021-01-12,171.743848333333,Montreal North,Montreal,covN2,solid
2021-01-14,165.191721666667,Montreal North,Montreal,covN2,solid
2021-01-17,178.532215,Montreal North,Montreal,covN2,solid
2021-01-19,79.8465083333333,Montreal North,Montreal,covN2,solid
2021-01-21,79.872045,Montreal North,Montreal,covN2,solid
2021-01-24,60.4020966666667,Montreal North,Montreal,covN2,solid
2021-01-26,59.1893116666667,Montreal North,Montreal,covN2,solid
2021-01-28,53.4233,Montreal North,Montreal,covN2,solid
2021-01-31,44.7479816666667,Montreal North,Montreal,covN2,solid
2021-02-02,33.41561,Montreal North,Montreal,covN2,solid
2021-02-04,47.3125566666667,Montreal North,Montreal,covN2,solid
2021-02-07,54.515695,Montreal North,Montreal,covN2,solid
2021-02-09,52.24823,Montreal North,Montreal,covN2,solid
2021-02-11,53.9986816666667,Montreal North,Montreal,covN2,solid
2021-02-14,55.1153366666667,Montreal North,Montreal,covN2,solid
2021-02-16,57.4072983333333,Montreal North,Montreal,covN2,solid
2021-02-18,33.4008,Montreal North,Montreal,covN2,solid
2021-02-21,28.115695,Montreal North,Montreal,covN2,solid
2021-02-23,26.2829583333333,Montreal North,Montreal,covN2,solid
2021-02-25,26.2485633333333,Montreal North,Montreal,covN2,solid
2021-02-28,27.2285816666667,Montreal North,Montreal,covN2,solid
2021-03-02,26.4841066666667,Montreal North,Montreal,covN2,solid
2021-03-04,24.0626666666667,Montreal North,Montreal,covN2,solid
2021-03-07,21.9910666666667,Montreal North,Montreal,covN2,solid
2021-03-09,20.102055,Montreal North,Montreal,covN2,solid
2021-03-11,21.496035,Montreal North,Montreal,covN2,solid
2021-03-14,19.59286,Montreal North,Montreal,covN2,solid
2021-03-17,17.1933783333333,Montreal North,Montreal,covN2,solid
2021-03-18,15.6757416666667,Montreal North,Montreal,covN2,solid
2021-03-21,20.6778616666667,Montreal North,Montreal,covN2,solid
2021-03-23,18.7154325,Montreal North,Montreal,covN2,solid
2021-03-25,16.089295,Montreal North,Montreal,covN2,solid
2021-03-28,11.4030916666667,Montreal North,Montreal,covN2,solid
2021-04-01,9.66938,Montreal North,Montreal,covN2,solid
2021-04-04,6.0086075,Montreal North,Montreal,covN2,solid
2021-04-07,8.04409666666667,Montreal North,Montreal,covN2,solid
2021-04-10,11.3980466666667,Montreal North,Montreal,covN2,solid
2021-04-14,23.66824,Montreal North,Montreal,covN2,solid
2021-04-17,23.05592,Montreal North,Montreal,covN2,solid
2021-04-21,14.3112075,Montreal North,Montreal,covN2,solid
2021-04-24,20.6203275,Montreal North,Montreal,covN2,solid
2021-04-28,19.31295,Montreal North,Montreal,covN2,solid
2021-05-01,12.2296225,Montreal North,Montreal,covN2,solid
2021-05-05,14.9433675,Montreal North,Montreal,covN2,solid
2021-05-08,13.4255475,Montreal North,Montreal,covN2,solid
2021-05-12,15.263145,Montreal North,Montreal,covN2,solid
2021-05-15,19.288565,Montreal North,Montreal,covN2,solid
2021-05-19,22.21676,Montreal North,Montreal,covN2,solid
2021-05-22,24.91624,Montreal North,Montreal,covN2,solid
2021-05-26,23.15661,Montreal North,Montreal,covN2,solid
2021-05-29,20.7647175,Montreal North,Montreal,covN2,solid
2021-06-02,10.4609925,Montreal North,Montreal,covN2,solid
2021-06-05,5.4367125,Montreal North,Montreal,covN2,solid
2021-06-09,8.18607,Montreal North,Montreal,covN2,solid
2021-06-12,12.59629,Montreal North,Montreal,covN2,solid
2021-06-19,7.28127,Montreal North,Montreal,covN2,solid
2021-06-20,5.140635,Montreal North,Montreal,covN2,solid
2021-06-23,4.42709,Montreal North,Montreal,covN2,solid
2021-06-26,4.32637333333333,Montreal North,Montreal,covN2,solid
2021-06-30,4.98956,Montreal North,Montreal,covN2,solid
2021-07-03,3,Montreal North,Montreal,covN2,solid
2021-07-07,3,Montreal North,Montreal,covN2,solid
2021-07-10,2,Montreal North,Montreal,covN2,solid
2021-07-14,2,Montreal North,Montreal,covN2,solid
2021-07-17,3,Montreal North,Montreal,covN2,solid
2021-07-21,3,Montreal North,Montreal,covN2,solid
2021-07-24,3.503775,Montreal North,Montreal,covN2,solid
2021-07-28,4.29521,Montreal North,Montreal,covN2,solid
2021-07-31,4.00831,Montreal North,Montreal,covN2,solid
2021-08-04,5.9530125,Montreal North,Montreal,covN2,solid
2021-08-07,10.2844825,Montreal North,Montreal,covN2,solid
2021-08-11,15.0293775,Montreal North,Montreal,covN2,solid
2021-08-14,17.749325,Montreal North,Montreal,covN2,solid
2021-08-18,21.3493225,Montreal North,Montreal,covN2,solid
2021-08-21,19.36017,Montreal North,Montreal,covN2,solid
2021-08-25,14.494385,Montreal North,Montreal,covN2,solid
2021-08-28,18.10886,Montreal North,Montreal,covN2,solid
2021-09-01,19.924705,Montreal North,Montreal,covN2,solid
2021-09-04,21.52525,Montreal North,Montreal,covN2,solid
2021-09-08,26.08305,Montreal North,Montreal,covN2,solid
2021-09-11,35.1696375,Montreal North,Montreal,covN2,solid
2021-09-15,33.6512925,Montreal North,Montreal,covN2,solid
2021-09-18,22.9819625,Montreal North,Montreal,covN2,solid
2021-09-22,15.49763,Montreal North,Montreal,covN2,solid
2021-09-25,15.3021,Montreal North,Montreal,covN2,solid
2021-09-29,14.6686675,Montreal North,Montreal,covN2,solid
2021-10-02,16.631095,Montreal North,Montreal,covN2,solid
2021-10-06,21.2811475,Montreal North,Montreal,covN2,solid
2021-10-09,19.5573775,Montreal North,Montreal,covN2,solid
2021-10-13,19.24686,Montreal North,Montreal,covN2,solid
2021-10-16,25.2067225,Montreal North,Montreal,covN2,solid
2021-10-20,22.738845,Montreal North,Montreal,covN2,solid
2021-10-23,14.2771725,Montreal North,Montreal,covN2,solid
2021-10-27,12.0478825,Montreal North,Montreal,covN2,solid
2021-10-30,9.0907,Montreal North,Montreal,covN2,solid
2021-11-03,10.1973725,Montreal North,Montreal,covN2,solid
2021-11-06,12.6555025,Montreal North,Montreal,covN2,solid
2021-11-10,11.72036,Montreal North,Montreal,covN2,solid
2021-11-13,11.420185,Montreal North,Montreal,covN2,solid
