Date,seven_day_rolling_avg,Location,region,measureid,fractionid
2022-06-16,70.041285,Haines Junction,Haines Junction,covN2,solid
2022-06-20,54.31385,Haines Junction,Haines Junction,covN2,solid
2022-06-22,40.6380916666667,Haines Junction,Haines Junction,covN2,solid
2022-06-28,9.76574,Haines Junction,Haines Junction,covN2,solid
2022-07-04,4.6224525,Haines Junction,Haines Junction,covN2,solid
2022-07-07,3.49236,Haines Junction,Haines Junction,covN2,solid
2022-07-14,394.972245,Haines Junction,Haines Junction,covN2,solid
2022-07-28,100.562215,Haines Junction,Haines Junction,covN2,solid
2022-08-10,318.68599,Haines Junction,Haines Junction,covN2,solid
2022-08-24,15.315825,Haines Junction,Haines Junction,covN2,solid
2022-08-29,31.876435,Haines Junction,Haines Junction,covN2,solid
2022-08-31,132.309115,Haines Junction,Haines Junction,covN2,solid
2022-09-02,110.439855,Haines Junction,Haines Junction,covN2,solid
2022-09-05,106.473913333333,Haines Junction,Haines Junction,covN2,solid
2022-09-07,41.9322916666667,Haines Junction,Haines Junction,covN2,solid
2022-09-09,21.84642,Haines Junction,Haines Junction,covN2,solid
2022-09-12,14.211045,Haines Junction,Haines Junction,covN2,solid
2022-09-14,8.09878833333333,Haines Junction,Haines Junction,covN2,solid
2022-09-16,8.53601166666667,Haines Junction,Haines Junction,covN2,solid
2022-09-21,10.746215,Haines Junction,Haines Junction,covN2,solid
2022-09-22,16.2635333333333,Haines Junction,Haines Junction,covN2,solid
2022-09-23,15.2719866666667,Haines Junction,Haines Junction,covN2,solid
2022-09-26,13.78926375,Haines Junction,Haines Junction,covN2,solid
2022-09-29,6.096105,Haines Junction,Haines Junction,covN2,solid
2022-09-30,5.74806833333333,Haines Junction,Haines Junction,covN2,solid
2022-10-03,6.63309,Haines Junction,Haines Junction,covN2,solid
2022-10-05,5.7248175,Haines Junction,Haines Junction,covN2,solid
2022-10-07,72.9073066666667,Haines Junction,Haines Junction,covN2,solid
2022-10-10,76.910655,Haines Junction,Haines Junction,covN2,solid
2022-10-12,131.743366666667,Haines Junction,Haines Junction,covN2,solid
2022-10-14,67.1859833333333,Haines Junction,Haines Junction,covN2,solid
