date,seven_day_rolling_avg,location,region,measureID,fractionID,viral_load,province_abbr,region_pop,pruid,province,province_pop
2021-02-09,30.770245,Edmonton Goldbar,Edmonton,covN2,solid,30.770245,AB,1010899,48,Alberta,4262635
2021-02-11,21.598975,Edmonton Goldbar,Edmonton,covN2,solid,12.427705,AB,1010899,48,Alberta,4262635
2021-02-14,21.274825,Edmonton Goldbar,Edmonton,covN2,solid,20.626525,AB,1010899,48,Alberta,4262635
2021-02-16,15.8570183333333,Edmonton Goldbar,Edmonton,covN2,solid,14.516825,AB,1010899,48,Alberta,4262635
2021-02-18,17.556075,Edmonton Goldbar,Edmonton,covN2,solid,17.524875,AB,1010899,48,Alberta,4262635
2021-02-22,14.04877,Edmonton Goldbar,Edmonton,covN2,solid,10.10461,AB,1010899,48,Alberta,4262635
2021-02-23,11.7464233333333,Edmonton Goldbar,Edmonton,covN2,solid,7.609785,AB,1010899,48,Alberta,4262635
2021-02-25,7.83541,Edmonton Goldbar,Edmonton,covN2,solid,5.791835,AB,1010899,48,Alberta,4262635
2021-02-28,8.80264625,Edmonton Goldbar,Edmonton,covN2,solid,11.704355,AB,1010899,48,Alberta,4262635
2021-03-02,11.7000883333333,Edmonton Goldbar,Edmonton,covN2,solid,17.604075,AB,1010899,48,Alberta,4262635
2021-03-04,15.7812416666667,Edmonton Goldbar,Edmonton,covN2,solid,18.035295,AB,1010899,48,Alberta,4262635
2021-03-07,14.4980816666667,Edmonton Goldbar,Edmonton,covN2,solid,7.854875,AB,1010899,48,Alberta,4262635
2021-03-09,14.41822,Edmonton Goldbar,Edmonton,covN2,solid,17.36449,AB,1010899,48,Alberta,4262635
2021-03-11,13.2843016666667,Edmonton Goldbar,Edmonton,covN2,solid,14.63354,AB,1010899,48,Alberta,4262635
2021-03-14,14.559285,Edmonton Goldbar,Edmonton,covN2,solid,11.679825,AB,1010899,48,Alberta,4262635
2021-03-16,16.29863,Edmonton Goldbar,Edmonton,covN2,solid,22.582525,AB,1010899,48,Alberta,4262635
2021-03-18,19.0595533333333,Edmonton Goldbar,Edmonton,covN2,solid,22.91631,AB,1010899,48,Alberta,4262635
2021-03-21,22.719965,Edmonton Goldbar,Edmonton,covN2,solid,22.66106,AB,1010899,48,Alberta,4262635
