Date,seven_day_rolling_avg,Location,region,measureid,fractionid
2022-12-22,17.217385,Fredericton,Fredericton,covN2,solid
2022-12-26,19.13349,Fredericton,Fredericton,covN2,solid
2023-01-02,164.863445,Fredericton,Fredericton,covN2,solid
2023-01-05,92.6206,Fredericton,Fredericton,covN2,solid
2023-01-09,46.8264625,Fredericton,Fredericton,covN2,solid
2023-01-12,38.8607525,Fredericton,Fredericton,covN2,solid
2023-01-16,23.51825,Fredericton,Fredericton,covN2,solid
2023-01-19,28.7891375,Fredericton,Fredericton,covN2,solid
2023-01-23,77.556695,Fredericton,Fredericton,covN2,solid
2023-01-26,102.82324,Fredericton,Fredericton,covN2,solid
2023-01-30,85.547,Fredericton,Fredericton,covN2,solid
2023-02-02,81.72012,Fredericton,Fredericton,covN2,solid
2023-02-09,93.34347,Fredericton,Fredericton,covN2,solid
2023-02-13,122.9942625,Fredericton,Fredericton,covN2,solid
2023-02-16,116.078315,Fredericton,Fredericton,covN2,solid
2023-02-21,68.969155,Fredericton,Fredericton,covN2,solid
2023-02-23,44.61523,Fredericton,Fredericton,covN2,solid
2023-02-27,34.332695,Fredericton,Fredericton,covN2,solid
2023-03-02,14.59278,Fredericton,Fredericton,covN2,solid
2022-06-13,5.22859,Moncton,Moncton,covN2,solid
2022-06-16,23.07734,Moncton,Moncton,covN2,solid
2022-06-20,26.29659,Moncton,Moncton,covN2,solid
2022-06-23,13.10436,Moncton,Moncton,covN2,solid
2022-06-27,16.1444775,Moncton,Moncton,covN2,solid
2022-06-30,42.046355,Moncton,Moncton,covN2,solid
2022-07-04,48.1652025,Moncton,Moncton,covN2,solid
2022-07-07,22.436675,Moncton,Moncton,covN2,solid
2022-07-11,57.45443,Moncton,Moncton,covN2,solid
2022-07-14,104.1876875,Moncton,Moncton,covN2,solid
2022-07-18,79.40112,Moncton,Moncton,covN2,solid
2022-07-25,21.36995,Moncton,Moncton,covN2,solid
2022-07-28,18.4597775,Moncton,Moncton,covN2,solid
2022-08-04,17.067845,Moncton,Moncton,covN2,solid
2022-08-08,26.44311,Moncton,Moncton,covN2,solid
2022-08-09,21.890295,Moncton,Moncton,covN2,solid
2022-08-11,21.2673133333333,Moncton,Moncton,covN2,solid
2022-08-15,10.327855,Moncton,Moncton,covN2,solid
2022-08-18,5.5603775,Moncton,Moncton,covN2,solid
2022-08-22,88.9870275,Moncton,Moncton,covN2,solid
2022-08-25,105.50644,Moncton,Moncton,covN2,solid
2022-08-29,53.9847025,Moncton,Moncton,covN2,solid
2022-09-01,47.8888425,Moncton,Moncton,covN2,solid
2022-09-06,20.24707,Moncton,Moncton,covN2,solid
2022-09-08,22.2615125,Moncton,Moncton,covN2,solid
2022-09-12,17.524285,Moncton,Moncton,covN2,solid
2022-09-15,19.3110075,Moncton,Moncton,covN2,solid
2022-09-20,20.95175,Moncton,Moncton,covN2,solid
2022-09-22,12.4520675,Moncton,Moncton,covN2,solid
2022-09-26,11.14428,Moncton,Moncton,covN2,solid
2022-09-29,5.7643525,Moncton,Moncton,covN2,solid
2022-10-03,4.494305,Moncton,Moncton,covN2,solid
2022-10-06,7.6452875,Moncton,Moncton,covN2,solid
2022-10-11,17.4821325,Moncton,Moncton,covN2,solid
2022-10-13,43.042995,Moncton,Moncton,covN2,solid
2022-10-17,50.46784,Moncton,Moncton,covN2,solid
2022-10-20,38.3765825,Moncton,Moncton,covN2,solid
2022-10-24,16.2394575,Moncton,Moncton,covN2,solid
2022-10-27,21.71389,Moncton,Moncton,covN2,solid
2022-10-31,17.4021025,Moncton,Moncton,covN2,solid
2022-11-03,21.86319,Moncton,Moncton,covN2,solid
2022-11-07,42.1909575,Moncton,Moncton,covN2,solid
2022-11-10,98.245745,Moncton,Moncton,covN2,solid
2022-11-14,74.23569,Moncton,Moncton,covN2,solid
2022-11-17,8.2865875,Moncton,Moncton,covN2,solid
2022-11-21,20.8065325,Moncton,Moncton,covN2,solid
2022-11-24,35.187955,Moncton,Moncton,covN2,solid
2022-11-28,122.914035,Moncton,Moncton,covN2,solid
2022-12-01,132.28907,Moncton,Moncton,covN2,solid
2022-12-05,44.665165,Moncton,Moncton,covN2,solid
2022-12-08,50.8544925,Moncton,Moncton,covN2,solid
2022-12-12,101.9831775,Moncton,Moncton,covN2,solid
2022-12-15,94.31446,Moncton,Moncton,covN2,solid
2022-12-19,37.34624,Moncton,Moncton,covN2,solid
2022-12-22,24.4622,Moncton,Moncton,covN2,solid
2022-12-29,28.678025,Moncton,Moncton,covN2,solid
2023-01-05,38.568195,Moncton,Moncton,covN2,solid
2023-01-09,33.01982,Moncton,Moncton,covN2,solid
2023-01-12,67.087865,Moncton,Moncton,covN2,solid
2023-01-16,61.45382,Moncton,Moncton,covN2,solid
2023-01-19,12.185165,Moncton,Moncton,covN2,solid
2023-01-23,15.7645925,Moncton,Moncton,covN2,solid
2023-01-26,22.972435,Moncton,Moncton,covN2,solid
2023-01-30,22.931925,Moncton,Moncton,covN2,solid
2023-02-02,26.381635,Moncton,Moncton,covN2,solid
2023-02-06,27.167005,Moncton,Moncton,covN2,solid
2023-02-09,36.06983,Moncton,Moncton,covN2,solid
2023-02-13,34.3348025,Moncton,Moncton,covN2,solid
2023-02-16,28.3353175,Moncton,Moncton,covN2,solid
2023-02-21,30.44804,Moncton,Moncton,covN2,solid
2023-02-23,28.38064,Moncton,Moncton,covN2,solid
2023-02-27,37.3577166666667,Moncton,Moncton,covN2,solid
2023-03-02,44.2378675,Moncton,Moncton,covN2,solid
2023-03-06,35.5781875,Moncton,Moncton,covN2,solid
2023-03-09,41.144065,Moncton,Moncton,covN2,solid
