Date,seven_day_rolling_avg,Location,region,measureid,fractionid
2021-04-19,1,St. John's,St. John's,covN2,solid
2021-04-22,1,St. John's,St. John's,covN2,solid
2021-04-26,1,St. John's,St. John's,covN2,solid
2021-04-29,1,St. John's,St. John's,covN2,solid
2021-05-03,1,St. John's,St. John's,covN2,solid
2021-05-05,1,St. John's,St. John's,covN2,solid
2021-05-10,2,St. John's,St. John's,covN2,solid
2021-05-13,2,St. John's,St. John's,covN2,solid
2021-05-17,1,St. John's,St. John's,covN2,solid
2021-05-21,1,St. John's,St. John's,covN2,solid
2021-05-25,1,St. John's,St. John's,covN2,solid
2021-05-28,1,St. John's,St. John's,covN2,solid
2021-06-01,1,St. John's,St. John's,covN2,solid
2021-06-03,1,St. John's,St. John's,covN2,solid
2021-06-07,1,St. John's,St. John's,covN2,solid
2021-06-10,1,St. John's,St. John's,covN2,solid
2021-06-14,1,St. John's,St. John's,covN2,solid
2021-06-17,1,St. John's,St. John's,covN2,solid
2021-06-22,1,St. John's,St. John's,covN2,solid
2021-06-24,1,St. John's,St. John's,covN2,solid
2021-06-29,1,St. John's,St. John's,covN2,solid
2021-07-02,1,St. John's,St. John's,covN2,solid
2021-07-05,1,St. John's,St. John's,covN2,solid
2021-07-08,1,St. John's,St. John's,covN2,solid
2021-07-13,1,St. John's,St. John's,covN2,solid
2021-07-15,1,St. John's,St. John's,covN2,solid
2021-07-19,1,St. John's,St. John's,covN2,solid
2021-07-22,1,St. John's,St. John's,covN2,solid
2021-07-26,1,St. John's,St. John's,covN2,solid
2021-07-29,2,St. John's,St. John's,covN2,solid
2021-08-02,2,St. John's,St. John's,covN2,solid
2021-08-09,1,St. John's,St. John's,covN2,solid
2021-08-12,1,St. John's,St. John's,covN2,solid
2021-08-16,1,St. John's,St. John's,covN2,solid
2021-08-19,2,St. John's,St. John's,covN2,solid
2021-08-23,3,St. John's,St. John's,covN2,solid
2021-08-26,3,St. John's,St. John's,covN2,solid
2021-08-30,2,St. John's,St. John's,covN2,solid
2021-09-02,1,St. John's,St. John's,covN2,solid
2021-09-07,2,St. John's,St. John's,covN2,solid
2021-09-09,2,St. John's,St. John's,covN2,solid
2021-09-13,2.33333333333333,St. John's,St. John's,covN2,solid
2021-09-16,3,St. John's,St. John's,covN2,solid
2021-09-20,2,St. John's,St. John's,covN2,solid
2021-09-23,1,St. John's,St. John's,covN2,solid
2021-09-27,1,St. John's,St. John's,covN2,solid
2021-09-29,1,St. John's,St. John's,covN2,solid
2021-10-04,2,St. John's,St. John's,covN2,solid
2021-10-07,4.5725625,St. John's,St. John's,covN2,solid
