Date,seven_day_rolling_avg,Location,region,measureid,fractionid
2023-01-13,40.630625,Battery Point,Battery Point,covN2,solid
2023-01-17,21.8153125,Battery Point,Battery Point,covN2,solid
2023-01-19,15.5435416666667,Battery Point,Battery Point,covN2,solid
2023-01-23,3,Battery Point,Battery Point,covN2,solid
2023-01-26,3,Battery Point,Battery Point,covN2,solid
2023-01-30,3,Battery Point,Battery Point,covN2,solid
2023-02-02,3.979325,Battery Point,Battery Point,covN2,solid
2023-02-06,6.02516,Battery Point,Battery Point,covN2,solid
2023-02-09,8.7224075,Battery Point,Battery Point,covN2,solid
2023-02-13,11.32284,Battery Point,Battery Point,covN2,solid
2023-02-16,14.7163075,Battery Point,Battery Point,covN2,solid
2023-02-20,15.374675,Battery Point,Battery Point,covN2,solid
2023-02-23,10.3732825,Battery Point,Battery Point,covN2,solid
2023-02-27,9.0467125,Battery Point,Battery Point,covN2,solid
2023-03-02,8.4687725,Battery Point,Battery Point,covN2,solid
2023-03-06,10.434975,Battery Point,Battery Point,covN2,solid
2023-01-05,35.73625,Bridgewater,Bridgewater,covN2,solid
2023-01-09,38.467305,Bridgewater,Bridgewater,covN2,solid
2023-01-12,23.40978,Bridgewater,Bridgewater,covN2,solid
2023-01-16,30.2354025,Bridgewater,Bridgewater,covN2,solid
2023-01-19,39.82497,Bridgewater,Bridgewater,covN2,solid
2023-01-23,16.8980475,Bridgewater,Bridgewater,covN2,solid
2023-01-26,5.99788,Bridgewater,Bridgewater,covN2,solid
2023-01-30,4.5573025,Bridgewater,Bridgewater,covN2,solid
2023-02-02,5.57683,Bridgewater,Bridgewater,covN2,solid
2023-02-06,9.6395725,Bridgewater,Bridgewater,covN2,solid
2023-02-09,14.964005,Bridgewater,Bridgewater,covN2,solid
2023-02-13,9.6055925,Bridgewater,Bridgewater,covN2,solid
2023-02-16,6.8928475,Bridgewater,Bridgewater,covN2,solid
2023-02-20,7.9874,Bridgewater,Bridgewater,covN2,solid
2023-02-23,8.935715,Bridgewater,Bridgewater,covN2,solid
2023-02-27,7.57953,Bridgewater,Bridgewater,covN2,solid
2023-03-02,3,Bridgewater,Bridgewater,covN2,solid
2023-03-06,6.9791875,Bridgewater,Bridgewater,covN2,solid
2023-03-09,10.5861875,Bridgewater,Bridgewater,covN2,solid
2023-03-13,9.5618125,Bridgewater,Bridgewater,covN2,solid
2023-01-19,3,Dominion-Bridgeport,Dominion-Bridgeport,covN2,solid
2023-01-23,3,Dominion-Bridgeport,Dominion-Bridgeport,covN2,solid
2023-01-26,5.298695,Dominion-Bridgeport,Dominion-Bridgeport,covN2,solid
2023-01-30,7.4346725,Dominion-Bridgeport,Dominion-Bridgeport,covN2,solid
2023-02-02,5.1359775,Dominion-Bridgeport,Dominion-Bridgeport,covN2,solid
2023-02-06,3,Dominion-Bridgeport,Dominion-Bridgeport,covN2,solid
2023-02-09,4.81923,Dominion-Bridgeport,Dominion-Bridgeport,covN2,solid
2023-02-13,7.6227425,Dominion-Bridgeport,Dominion-Bridgeport,covN2,solid
2023-02-16,14.0684825,Dominion-Bridgeport,Dominion-Bridgeport,covN2,solid
2023-02-20,17.475285,Dominion-Bridgeport,Dominion-Bridgeport,covN2,solid
2023-02-23,9.210315,Dominion-Bridgeport,Dominion-Bridgeport,covN2,solid
2023-02-25,27.774845,Dominion-Bridgeport,Dominion-Bridgeport,covN2,solid
2023-03-02,43.4851925,Dominion-Bridgeport,Dominion-Bridgeport,covN2,solid
2023-03-06,58.1473975,Dominion-Bridgeport,Dominion-Bridgeport,covN2,solid
2020-11-12,3,Halifax Dartmouth,Halifax,covN2,solid
2020-11-19,3.63791,Halifax Dartmouth,Halifax,covN2,solid
2020-11-23,3.318955,Halifax Dartmouth,Halifax,covN2,solid
2020-11-26,2,Halifax Dartmouth,Halifax,covN2,solid
2020-12-03,3,Halifax Dartmouth,Halifax,covN2,solid
2020-12-04,4.92729,Halifax Dartmouth,Halifax,covN2,solid
2020-12-07,4.28486,Halifax Dartmouth,Halifax,covN2,solid
2020-12-09,3.463645,Halifax Dartmouth,Halifax,covN2,solid
2020-12-11,1.66666666666667,Halifax Dartmouth,Halifax,covN2,solid
2020-12-14,1.66666666666667,Halifax Dartmouth,Halifax,covN2,solid
2020-12-16,1.66666666666667,Halifax Dartmouth,Halifax,covN2,solid
2020-12-18,2.33333333333333,Halifax Dartmouth,Halifax,covN2,solid
2020-12-21,1.66666666666667,Halifax Dartmouth,Halifax,covN2,solid
2020-12-22,2,Halifax Dartmouth,Halifax,covN2,solid
2020-12-23,2,Halifax Dartmouth,Halifax,covN2,solid
2020-12-29,1,Halifax Dartmouth,Halifax,covN2,solid
2020-12-30,2,Halifax Dartmouth,Halifax,covN2,solid
2020-12-31,1.66666666666667,Halifax Dartmouth,Halifax,covN2,solid
2021-01-04,1.5,Halifax Dartmouth,Halifax,covN2,solid
2021-01-06,1.66666666666667,Halifax Dartmouth,Halifax,covN2,solid
2021-01-08,1.66666666666667,Halifax Dartmouth,Halifax,covN2,solid
2021-01-11,1.66666666666667,Halifax Dartmouth,Halifax,covN2,solid
2021-01-13,1.66666666666667,Halifax Dartmouth,Halifax,covN2,solid
2021-01-15,1.66666666666667,Halifax Dartmouth,Halifax,covN2,solid
2021-01-18,1.66666666666667,Halifax Dartmouth,Halifax,covN2,solid
2021-01-20,1,Halifax Dartmouth,Halifax,covN2,solid
2021-01-22,1,Halifax Dartmouth,Halifax,covN2,solid
2021-01-25,1.66666666666667,Halifax Dartmouth,Halifax,covN2,solid
2021-01-27,2.33333333333333,Halifax Dartmouth,Halifax,covN2,solid
2021-01-29,2.33333333333333,Halifax Dartmouth,Halifax,covN2,solid
2021-02-01,1.66666666666667,Halifax Dartmouth,Halifax,covN2,solid
2021-02-03,1.66666666666667,Halifax Dartmouth,Halifax,covN2,solid
2021-02-05,1.66666666666667,Halifax Dartmouth,Halifax,covN2,solid
2021-02-08,2.33333333333333,Halifax Dartmouth,Halifax,covN2,solid
2021-02-10,1.66666666666667,Halifax Dartmouth,Halifax,covN2,solid
2021-02-12,1.66666666666667,Halifax Dartmouth,Halifax,covN2,solid
2021-02-15,1,Halifax Dartmouth,Halifax,covN2,solid
2021-02-17,1.66666666666667,Halifax Dartmouth,Halifax,covN2,solid
2021-02-19,1.66666666666667,Halifax Dartmouth,Halifax,covN2,solid
2021-02-22,1.66666666666667,Halifax Dartmouth,Halifax,covN2,solid
2021-02-24,1,Halifax Dartmouth,Halifax,covN2,solid
2021-02-26,1,Halifax Dartmouth,Halifax,covN2,solid
2021-03-01,1,Halifax Dartmouth,Halifax,covN2,solid
2021-03-03,1,Halifax Dartmouth,Halifax,covN2,solid
2021-03-05,1,Halifax Dartmouth,Halifax,covN2,solid
2021-03-08,1,Halifax Dartmouth,Halifax,covN2,solid
2021-03-10,1,Halifax Dartmouth,Halifax,covN2,solid
