Date,seven_day_rolling_avg,Location,region,measureid,fractionid
2022-11-02,3.83744,Alberton,Alberton,covN2,solid
2022-11-09,14.29028,Alberton,Alberton,covN2,solid
2022-11-16,61.0905625,Alberton,Alberton,covN2,solid
2022-11-23,55.048755,Alberton,Alberton,covN2,solid
2022-11-30,24.726635,Alberton,Alberton,covN2,solid
2022-12-07,6.671285,Alberton,Alberton,covN2,solid
2022-12-14,11.56881,Alberton,Alberton,covN2,solid
2022-12-22,3,Alberton,Alberton,covN2,solid
2022-12-29,26.90312,Alberton,Alberton,covN2,solid
2023-01-04,16.809845,Alberton,Alberton,covN2,solid
2023-01-11,4.00057,Alberton,Alberton,covN2,solid
2023-01-25,3,Alberton,Alberton,covN2,solid
2023-02-01,26.134795,Alberton,Alberton,covN2,solid
2023-02-08,121.929105,Alberton,Alberton,covN2,solid
2023-02-15,5.87797,Alberton,Alberton,covN2,solid
2023-02-22,9.794005,Alberton,Alberton,covN2,solid
2023-03-01,3,Alberton,Alberton,covN2,solid
2023-03-08,71.20872,Alberton,Alberton,covN2,solid
2022-05-05,13.016705,City of Charlottetown & Town of Stratford,City of Charlottetown & Town of Stratford,covN2,solid
2022-05-09,25.6899525,City of Charlottetown & Town of Stratford,City of Charlottetown & Town of Stratford,covN2,solid
2022-05-12,46.7760575,City of Charlottetown & Town of Stratford,City of Charlottetown & Town of Stratford,covN2,solid
2022-05-16,47.4707025,City of Charlottetown & Town of Stratford,City of Charlottetown & Town of Stratford,covN2,solid
2022-05-19,44.07174,City of Charlottetown & Town of Stratford,City of Charlottetown & Town of Stratford,covN2,solid
2022-05-24,50.8327175,City of Charlottetown & Town of Stratford,City of Charlottetown & Town of Stratford,covN2,solid
2022-05-26,96.32999,City of Charlottetown & Town of Stratford,City of Charlottetown & Town of Stratford,covN2,solid
2022-05-30,75.4689283333333,City of Charlottetown & Town of Stratford,City of Charlottetown & Town of Stratford,covN2,solid
2022-06-02,36.2795025,City of Charlottetown & Town of Stratford,City of Charlottetown & Town of Stratford,covN2,solid
2022-06-06,75.3094275,City of Charlottetown & Town of Stratford,City of Charlottetown & Town of Stratford,covN2,solid
2022-06-09,77.37664,City of Charlottetown & Town of Stratford,City of Charlottetown & Town of Stratford,covN2,solid
