Date,seven_day_rolling_avg,Location,region,measureid,fractionid
2021-08-04,0.9,North Battleford,North Battleford,covN2,mixed
2021-08-06,0.45,North Battleford,North Battleford,covN2,mixed
2021-08-10,0.533333333333333,North Battleford,North Battleford,covN2,mixed
2021-08-12,1,North Battleford,North Battleford,covN2,mixed
2021-08-17,2.7,North Battleford,North Battleford,covN2,mixed
2021-08-20,14.4,North Battleford,North Battleford,covN2,mixed
2021-08-28,12.4,North Battleford,North Battleford,covN2,mixed
2021-08-30,11.9,North Battleford,North Battleford,covN2,mixed
2021-09-01,42.5666666666667,North Battleford,North Battleford,covN2,mixed
2021-09-03,36.8,North Battleford,North Battleford,covN2,mixed
2021-09-07,46.7666666666667,North Battleford,North Battleford,covN2,mixed
2021-09-09,18.4666666666667,North Battleford,North Battleford,covN2,mixed
2021-09-14,27,North Battleford,North Battleford,covN2,mixed
2021-09-16,57.1,North Battleford,North Battleford,covN2,mixed
2021-09-23,16,North Battleford,North Battleford,covN2,mixed
2021-09-25,16.1,North Battleford,North Battleford,covN2,mixed
2021-09-27,17.8666666666667,North Battleford,North Battleford,covN2,mixed
2021-09-29,21.225,North Battleford,North Battleford,covN2,mixed
2021-10-01,30.9,North Battleford,North Battleford,covN2,mixed
2021-10-03,39.075,North Battleford,North Battleford,covN2,mixed
2021-10-05,57.475,North Battleford,North Battleford,covN2,mixed
2021-10-07,57.925,North Battleford,North Battleford,covN2,mixed
2021-10-09,57.775,North Battleford,North Battleford,covN2,mixed
2021-10-12,33.3,North Battleford,North Battleford,covN2,mixed
2021-10-14,31.9,North Battleford,North Battleford,covN2,mixed
2021-10-16,30.2333333333333,North Battleford,North Battleford,covN2,mixed
2021-10-19,28.3,North Battleford,North Battleford,covN2,mixed
2021-10-21,19.9333333333333,North Battleford,North Battleford,covN2,mixed
2021-10-22,16.625,North Battleford,North Battleford,covN2,mixed
2021-10-25,6.4,North Battleford,North Battleford,covN2,mixed
2021-10-27,9.575,North Battleford,North Battleford,covN2,mixed
2021-10-29,14.4666666666667,North Battleford,North Battleford,covN2,mixed
2021-11-02,12.9666666666667,North Battleford,North Battleford,covN2,mixed
2021-11-04,8.06666666666667,North Battleford,North Battleford,covN2,mixed
2021-11-06,3.73333333333333,North Battleford,North Battleford,covN2,mixed
2021-11-10,3,North Battleford,North Battleford,covN2,mixed
2021-11-12,2.56666666666667,North Battleford,North Battleford,covN2,mixed
2021-11-15,2.66666666666667,North Battleford,North Battleford,covN2,mixed
2021-11-17,5.13333333333333,North Battleford,North Battleford,covN2,mixed
2021-11-19,4.73333333333333,North Battleford,North Battleford,covN2,mixed
2021-11-21,3.975,North Battleford,North Battleford,covN2,mixed
2021-11-22,3.25,North Battleford,North Battleford,covN2,mixed
2021-11-24,1.025,North Battleford,North Battleford,covN2,mixed
2021-11-26,0.425,North Battleford,North Battleford,covN2,mixed
2021-11-29,0.6,North Battleford,North Battleford,covN2,mixed
2021-12-01,1.8,North Battleford,North Battleford,covN2,mixed
2021-12-04,2.16666666666667,North Battleford,North Battleford,covN2,mixed
2021-12-07,1.7,North Battleford,North Battleford,covN2,mixed
2021-12-09,1.86666666666667,North Battleford,North Battleford,covN2,mixed
2021-12-11,2.23333333333333,North Battleford,North Battleford,covN2,mixed
2021-12-15,2.26666666666667,North Battleford,North Battleford,covN2,mixed
2021-12-17,1.73333333333333,North Battleford,North Battleford,covN2,mixed
2021-12-19,1.3,North Battleford,North Battleford,covN2,mixed
2021-12-29,8.8,North Battleford,North Battleford,covN2,mixed
2022-01-01,13.55,North Battleford,North Battleford,covN2,mixed
2022-01-03,16.9666666666667,North Battleford,North Battleford,covN2,mixed
2022-01-05,16.1666666666667,North Battleford,North Battleford,covN2,mixed
2022-01-07,13.8,North Battleford,North Battleford,covN2,mixed
2022-01-09,13.85,North Battleford,North Battleford,covN2,mixed
2022-01-10,25.675,North Battleford,North Battleford,covN2,mixed
2022-01-12,50.65,North Battleford,North Battleford,covN2,mixed
2022-01-14,59.85,North Battleford,North Battleford,covN2,mixed
2022-01-17,51.7666666666667,North Battleford,North Battleford,covN2,mixed
2022-01-19,66.5333333333333,North Battleford,North Battleford,covN2,mixed
2022-01-21,94.3,North Battleford,North Battleford,covN2,mixed
2022-01-24,124.833333333333,North Battleford,North Battleford,covN2,mixed
2022-01-26,114.2,North Battleford,North Battleford,covN2,mixed
2022-01-28,82.7666666666667,North Battleford,North Battleford,covN2,mixed
2022-01-31,70.5666666666667,North Battleford,North Battleford,covN2,mixed
2022-02-02,53.4666666666667,North Battleford,North Battleford,covN2,mixed
2022-02-04,63.8666666666667,North Battleford,North Battleford,covN2,mixed
2022-02-07,45.1666666666667,North Battleford,North Battleford,covN2,mixed
2022-02-09,57.8,North Battleford,North Battleford,covN2,mixed
2022-02-11,57.8666666666667,North Battleford,North Battleford,covN2,mixed
