Date,obs_max,obs_min,zone_id,fc_high_made_daytm1,fc_low_made_daytm1,fc_high_for_dayt,fc_low_for_dayt,fc_high_for_daytp1,fc_low_for_daytp1,fc_high_for_daytp2,fc_low_for_daytp2,fc_high_for_daytp3,fc_low_for_daytp3,obs_risk,fc_risk_dayt,fc_risk_daytp1,fc_risk_daytp2,fc_risk_daytp3,zone_location_name
2022-01-01,-3,-12.4,1,-4,-9,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,Abbotsford
2022-01-01,-17.2,-29.3,2,-18,-28,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,Blue River
2022-01-01,-3.9,-18.7,3,-11,-20,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,Burns Lake
2022-01-01,-13,-22.6,4,-11,-21,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,Clinton
2022-01-01,2.4,-5.4,5,0,-6,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,Comox
2022-01-01,-18.1,-31,6,-16,-25,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,Cranbrook
2022-01-01,-11.1,-16.8,7,-10,-15,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,Creston
2022-01-01,-13.8,-17.2,8,-11,-18,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,Dease Lake
2022-01-01,-22.8,-28.5,9,-26,-29,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,Fort Nelson
2022-01-01,-11.7,-27.4,10,-19,-29,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,Fort St. John
2022-01-01,-7.6,-23.2,11,-7,-20,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,Kamloops
2022-01-01,-10.2,-24.7,12,-10,-20,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,Kelowna
2022-01-01,-0.8,-18.9,13,-6,-18,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,Lytton
2022-01-01,-10,-15.3,14,-10,-15,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,Nakusp
2022-01-01,-9.6,-14.3,15,-12,-16,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,Nelson
2022-01-01,-8.5,-16,16,-9,-17,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,Penticton
2022-01-01,4.2,-8,17,0,-7,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,Port Alberni
2022-01-01,2.2,-0.2,18,5,0,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,Port Hardy
2022-01-01,-6.1,-22.2,19,-10,-21,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,Prince George
2022-01-01,5.7,-0.3,20,3,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,Prince Rupert
